countyFIPS,Deaths
0,0
1001,30
1003,69
1005,9
1007,14
1009,25
1011,17
1013,40
1015,60
1017,43
1019,14
1021,32
1023,12
1025,17
1027,12
1029,8
1031,10
1033,31
1035,13
1037,3
1039,29
1041,30
1043,24
1045,51
1047,27
1049,29
1051,52
1053,29
1055,49
1057,13
1059,31
1061,7
1063,16
1065,30
1067,6
1069,32
1071,15
1073,374
1075,5
1077,41
1079,31
1081,65
1083,30
1085,28
1087,20
1089,94
1091,22
1093,29
1095,49
1097,314
1099,10
1101,196
1103,35
1105,6
1107,17
1109,13
1111,16
1113,3
1115,42
1117,62
1119,21
1121,35
1123,87
1125,139
1127,93
1129,12
1131,12
1133,13
0,0
2013,0
2016,0
2020,42
2050,1
2060,0
2068,0
2070,0
2090,13
2100,0
2105,0
2110,3
2122,3
2130,0
2150,0
2158,0
2164,0
2170,2
2180,0
2185,0
2188,0
2195,1
2198,0
2220,0
2230,0
2240,0
2261,1
2270,0
2275,0
2282,0
2290,2
0,0
4001,168
4003,73
4005,147
4007,67
4009,27
4011,2
4012,16
4013,3536
4015,230
4017,236
4019,635
4021,217
4023,65
4025,87
4027,353
0,0
5001,12
5003,11
5005,7
5007,114
5009,29
5011,8
5013,0
5015,12
5017,22
5019,4
5021,12
5023,15
5025,13
5027,19
5029,3
5031,38
5033,25
5035,51
5037,22
5039,5
5041,7
5043,7
5045,30
5047,2
5049,9
5051,62
5053,4
5055,16
5057,5
5059,32
5061,14
5063,42
5065,1
5067,6
5069,101
5071,7
5073,3
5075,17
5077,18
5079,17
5081,38
5083,3
5085,26
5087,6
5089,2
5091,15
5093,66
5095,1
5097,8
5099,14
5101,20
5103,9
5105,0
5107,16
5109,1
5111,17
5113,5
5115,37
5117,4
5119,200
5121,24
5123,10
5125,29
5127,1
5129,1
5131,90
5133,16
5135,10
5137,21
5139,49
5141,3
5143,146
5145,32
5147,0
5149,30
0,0
6000,0
6001,456
6003,0
6005,16
6007,52
6009,17
6011,6
6013,240
6015,1
6017,4
6019,430
6021,3
6023,9
6025,336
6027,15
6029,416
6031,104
6033,15
6035,1
6037,6956
6039,74
6041,128
6043,2
6045,21
6047,154
6049,0
6051,2
6053,87
6055,15
6057,8
6059,1434
6061,57
6063,0
6065,1279
6067,482
6069,15
6071,1070
6073,866
6075,138
6077,488
6079,32
6081,157
6083,120
6085,385
6087,25
6089,30
6091,0
6093,0
6095,74
6097,134
6099,395
6101,12
6103,8
6105,0
6107,284
6109,4
6111,162
6113,58
6115,10
0,0
8001,249
8003,9
8005,377
8007,0
8009,0
8011,0
8013,84
8014,41
8015,20
8017,0
8019,1
8021,0
8023,1
8025,1
8027,0
8029,4
8031,444
8033,0
8035,64
8037,10
8039,3
8041,194
8043,1
8045,5
8047,0
8049,1
8051,7
8053,0
8055,2
8057,0
8059,301
8061,0
8063,3
8065,0
8067,2
8069,55
8071,1
8073,0
8075,10
8077,8
8079,0
8081,1
8083,5
8085,13
8087,48
8089,6
8091,2
8093,1
8095,0
8097,2
8099,0
8101,40
8103,0
8105,3
8107,8
8109,2
8111,0
8113,0
8115,1
8117,4
8119,4
8121,0
8123,159
8125,1
0,0
9001,1429
9003,1459
9005,143
9007,196
9009,1122
9011,135
9013,68
9015,17
0,0
10001,119
10003,338
10005,217
11001,642
0,0
12001,74
12003,18
12005,132
12007,15
12009,352
12011,1519
12013,14
12015,156
12017,130
12019,117
12021,249
12023,71
12027,29
12029,11
12031,512
12033,269
12035,37
12037,4
12039,54
12041,18
12043,6
12045,15
12047,9
12049,16
12051,43
12053,165
12055,111
12057,755
12059,12
12061,123
12063,83
12065,9
12067,15
12069,227
12071,500
12073,101
12075,12
12077,10
12079,24
12081,324
12083,342
12085,163
12086,3585
12087,25
12089,50
12091,129
12093,37
12095,532
12097,186
12099,1549
12101,227
12103,812
12105,593
12107,50
12109,78
12111,323
12113,86
12115,327
12117,236
12119,83
12121,78
12123,16
12125,41
12127,315
12129,10
12131,29
12133,24
0,189
13001,36
13003,5
13005,15
13007,6
13009,63
13011,8
13013,50
13015,94
13017,34
13019,12
13021,190
13023,23
13025,13
13027,27
13029,14
13031,33
13033,12
13035,43
13037,9
13039,17
13043,24
13045,75
13047,21
13049,10
13051,186
13053,1
13055,28
13057,100
13059,46
13061,3
13063,175
13065,12
13067,449
13069,60
13071,39
13073,64
13075,16
13077,63
13079,6
13081,23
13083,5
13085,10
13087,34
13089,393
13091,14
13093,16
13095,190
13097,72
13099,35
13101,2
13103,27
13105,9
13107,36
13109,6
13111,28
13113,56
13115,57
13117,52
13119,17
13121,613
13123,22
13125,2
13127,104
13129,43
13131,25
13133,25
13135,438
13137,75
13139,172
13141,44
13143,10
13145,25
13147,16
13149,6
13151,111
13153,91
13155,6
13157,40
13159,4
13161,23
13163,32
13165,32
13167,22
13169,15
13171,19
13173,7
13175,86
13177,27
13179,25
13181,7
13183,4
13185,85
13187,14
13189,15
13191,7
13193,10
13195,11
13197,9
13199,16
13201,2
13205,45
13207,53
13209,9
13211,5
13213,9
13215,173
13217,94
13219,27
13221,11
13223,60
13225,24
13227,10
13229,24
13231,12
13233,26
13235,23
13237,27
13239,1
13241,11
13243,29
13245,175
13247,40
13249,2
13251,11
13253,11
13255,62
13257,41
13259,16
13261,69
13263,7
13265,0
13267,13
13269,12
13271,23
13273,32
13275,69
13277,63
13279,57
13281,12
13283,11
13285,106
13287,24
13289,9
13291,25
13293,69
13295,43
13297,66
13299,62
13301,5
13303,13
13305,30
13307,2
13309,16
13311,23
13313,64
13315,25
13317,6
13319,17
13321,32
0,1
15001,28
15003,159
15005,0
15007,0
15009,18
0,0
16001,160
16003,2
16005,10
16007,1
16009,3
16011,15
16013,6
16015,2
16017,1
16019,25
16021,1
16023,0
16025,0
16027,108
16029,4
16031,8
16033,0
16035,0
16037,1
16039,4
16041,1
16043,3
16045,6
16047,5
16049,1
16051,3
16053,7
16055,48
16057,0
16059,0
16061,3
16063,0
16065,2
16067,8
16069,24
16071,0
16073,5
16075,10
16077,2
16079,20
16081,2
16083,43
16085,1
16087,8
0,0
17001,15
17003,1
17005,9
17007,25
17009,0
17011,17
17013,0
17015,9
17017,11
17019,28
17021,27
17023,10
17025,13
17027,25
17029,38
17031,5390
17033,6
17035,6
17037,42
17039,4
17041,8
17043,605
17045,8
17047,0
17049,4
17051,22
17053,11
17055,8
17057,1
17059,2
17061,15
17063,7
17065,2
17067,4
17069,0
17071,0
17073,7
17075,19
17077,26
17079,10
17081,45
17083,21
17085,7
17087,0
17089,345
17091,78
17093,28
17095,16
17097,507
17099,61
17101,8
17103,1
17105,10
17107,4
17109,17
17111,120
17113,31
17115,49
17117,10
17119,153
17121,17
17123,3
17125,1
17127,2
17129,1
17131,6
17133,28
17135,15
17137,24
17139,5
17141,7
17143,68
17145,16
17147,0
17149,4
17151,1
17153,1
17155,0
17157,15
17159,16
17161,89
17163,216
17165,9
17167,62
17169,1
17171,0
17173,11
17175,2
17177,7
17179,52
17181,25
17183,8
17185,5
17187,7
17189,1
17191,12
17193,2
17195,25
17197,425
17199,59
17201,179
17203,14
0,0
18001,8
18003,239
18005,62
18007,0
18009,3
18011,53
18013,3
18015,13
18017,23
18019,68
18021,7
18023,20
18025,2
18027,35
18029,30
18031,42
18033,12
18035,75
18037,26
18039,139
18041,18
18043,70
18045,3
18047,26
18049,3
18051,11
18053,42
18055,40
18057,122
18059,48
18061,26
18063,150
18065,29
18067,69
18069,5
18071,16
18073,6
18075,7
18077,5
18079,15
18081,137
18083,10
18085,26
18087,16
18089,373
18091,58
18093,38
18095,104
18097,839
18099,26
18101,0
18103,5
18105,42
18107,23
18109,43
18111,12
18113,34
18115,7
18117,27
18119,2
18121,3
18123,15
18125,18
18127,51
18129,6
18131,1
18133,16
18135,9
18137,8
18139,4
18141,168
18143,15
18145,38
18147,6
18149,8
18151,8
18153,14
18155,0
18157,16
18159,26
18161,0
18163,60
18165,1
18167,39
18169,9
18171,1
18173,67
18175,3
18177,31
18179,10
18181,15
18183,6
0,0
19001,1
19003,0
19005,8
19007,3
19009,1
19011,1
19013,98
19015,9
19017,9
19019,4
19021,12
19023,2
19025,4
19027,10
19029,2
19031,5
19033,23
19035,2
19037,1
19039,3
19041,4
19043,3
19045,26
19047,12
19049,44
19051,4
19053,0
19055,9
19057,9
19059,7
19061,54
19063,17
19065,3
19067,11
19069,18
19071,1
19073,0
19075,5
19077,15
19079,3
19081,4
19083,5
19085,8
19087,5
19089,9
19091,3
19093,2
19095,8
19097,3
19099,34
19101,1
19103,30
19105,3
19107,1
19109,0
19111,10
19113,128
19115,15
19117,6
19119,7
19121,2
19123,24
19125,10
19127,36
19129,1
19131,0
19133,1
19135,11
19137,5
19139,58
19141,14
19143,0
19145,0
19147,2
19149,26
19151,2
19153,283
19155,44
19157,11
19159,2
19161,4
19163,37
19165,1
19167,14
19169,18
19171,37
19173,2
19175,4
19177,2
19179,62
19181,6
19183,11
19185,3
19187,14
19189,18
19191,9
19193,94
19195,0
19197,1
0,20
20001,1
20003,0
20005,5
20007,0
20009,7
20011,3
20013,5
20015,3
20017,1
20019,0
20021,8
20023,5
20025,1
20027,2
20029,1
20031,9
20033,0
20035,10
20037,10
20039,1
20041,3
20043,0
20045,17
20047,0
20049,0
20051,16
20053,0
20055,18
20057,10
20059,3
20061,4
20063,10
20065,1
20067,8
20069,0
20071,0
20073,0
20075,0
20077,2
20079,8
20081,1
20083,0
20085,4
20087,4
20089,1
20091,185
20093,3
20095,3
20097,0
20099,5
20101,1
20103,18
20105,1
20107,1
20109,0
20111,39
20113,6
20115,1
20117,0
20119,2
20121,2
20123,0
20125,6
20127,0
20129,2
20131,1
20133,0
20135,9
20137,10
20139,2
20141,0
20143,0
20145,1
20147,9
20149,0
20151,0
20153,0
20155,15
20157,1
20159,1
20161,11
20163,7
20165,0
20167,4
20169,13
20171,1
20173,127
20175,11
20177,77
20179,0
20181,0
20183,0
20185,1
20187,2
20189,1
20191,4
20193,2
20195,1
20197,1
20199,0
20201,0
20203,0
20205,2
20207,0
20209,161
0,0
21001,21
21003,11
21005,1
21007,1
21009,13
21011,1
21013,17
21015,25
21017,1
21019,20
21021,0
21023,1
21025,0
21027,2
21029,14
21031,16
21033,0
21035,9
21037,16
21039,1
21041,5
21043,4
21045,15
21047,27
21049,11
21051,6
21053,3
21055,1
21057,0
21059,27
21061,12
21063,0
21065,0
21067,86
21069,0
21071,4
21073,14
21075,3
21077,8
21079,3
21081,6
21083,29
21085,15
21087,8
21089,10
21091,2
21093,13
21095,13
21097,1
21099,1
21101,24
21103,2
21105,1
21107,42
21109,17
21111,341
21113,7
21115,2
21117,49
21119,3
21121,9
21123,1
21125,7
21127,0
21129,1
21131,0
21133,2
21135,15
21137,18
21139,1
21141,30
21143,4
21145,12
21147,1
21149,3
21151,13
21153,0
21155,10
21157,6
21159,3
21161,2
21163,3
21165,1
21167,6
21169,2
21171,4
21173,4
21175,0
21177,13
21179,4
21181,2
21183,9
21185,26
21187,3
21189,1
21191,0
21193,9
21195,3
21197,0
21199,13
21201,1
21203,2
21205,1
21207,6
21209,18
21211,24
21213,8
21215,0
21217,7
21219,11
21221,0
21223,0
21225,6
21227,57
21229,1
21231,1
21233,5
21235,6
21237,0
21239,0
0,0
22001,100
22003,54
22005,98
22007,24
22009,62
22011,40
22013,33
22015,117
22017,391
22019,224
22021,3
22023,2
22025,14
22027,24
22029,16
22031,35
22033,456
22035,6
22037,76
22039,39
22041,44
22043,30
22045,93
22047,60
22049,22
22051,581
22053,43
22055,137
22057,126
22059,10
22061,48
22063,79
22065,8
22067,26
22069,28
22071,592
22073,160
22075,19
22077,40
22079,154
22081,24
22083,16
22085,14
22087,32
22089,63
22091,4
22093,40
22095,106
22097,135
22099,63
22101,84
22103,269
22105,122
22107,2
22109,123
22111,51
22113,70
22115,55
22117,70
22119,38
22121,42
22123,12
22125,25
22127,19
0,0
23001,10
23003,1
23005,70
23007,1
23009,1
23011,11
23013,1
23015,1
23017,2
23019,6
23021,0
23023,0
23025,8
23027,14
23029,0
23031,20
0,67
24001,23
24003,266
24005,658
24009,29
24011,8
24013,129
24015,36
24017,101
24019,10
24021,138
24023,1
24025,80
24027,124
24029,24
24031,863
24033,852
24035,26
24037,59
24039,6
24041,6
24043,42
24045,49
24047,30
24510,498
0,5
25001,182
25003,51
25005,735
25007,0
25009,1333
25011,72
25013,804
25015,153
25017,2240
25019,2
25021,1097
25023,814
25025,1166
25027,1156
0,82
26001,2
26003,1
26005,7
26007,14
26009,0
26011,3
26013,4
26015,6
26017,59
26019,2
26021,81
26023,10
26025,63
26027,24
26029,4
26031,2
26033,0
26035,9
26037,14
26039,5
26041,22
26043,15
26045,11
26047,4
26049,332
26051,2
26053,2
26055,13
26057,16
26059,28
26061,8
26063,5
26065,62
26067,7
26069,15
26071,21
26073,15
26075,62
26077,102
26079,4
26081,182
26083,0
26085,0
26087,38
26089,2
26091,19
26093,33
26095,0
26097,0
26099,1074
26101,3
26103,12
26105,1
26107,4
26109,3
26111,14
26113,1
26115,31
26117,9
26119,0
26121,77
26123,3
26125,1233
26127,6
26129,5
26131,0
26133,0
26135,1
26137,12
26139,72
26141,1
26143,5
26145,152
26147,64
26149,15
26151,7
26153,1
26155,33
26157,35
26159,18
26161,116
26163,3040
26165,4
0,0
27001,2
27003,150
27005,3
27007,7
27009,7
27011,0
27013,7
27015,3
27017,1
27019,7
27021,5
27023,3
27025,2
27027,43
27029,0
27031,0
27033,0
27035,21
27037,137
27039,0
27041,3
27043,0
27045,0
27047,4
27049,11
27051,4
27053,981
27055,1
27057,2
27059,5
27061,17
27063,1
27065,10
27067,5
27069,0
27071,4
27073,3
27075,0
27077,1
27079,5
27081,0
27083,6
27085,4
27087,2
27089,1
27091,16
27093,3
27095,14
27097,8
27099,15
27101,3
27103,17
27105,16
27107,0
27109,30
27111,7
27113,1
27115,0
27117,17
27119,4
27121,0
27123,357
27125,2
27127,11
27129,11
27131,9
27133,4
27135,0
27137,65
27139,34
27141,21
27143,3
27145,41
27147,3
27149,1
27151,1
27153,5
27155,0
27157,0
27159,3
27161,9
27163,70
27165,4
27167,4
27169,18
27171,14
27173,5
0,0
28001,43
28003,12
28005,13
28007,26
28009,5
28011,77
28013,12
28015,12
28017,26
28019,6
28021,16
28023,51
28025,21
28027,36
28029,36
28031,26
28033,79
28035,78
28037,3
28039,18
28041,18
28043,38
28045,28
28047,83
28049,177
28051,60
28053,16
28055,4
28057,25
28059,84
28061,17
28063,10
28065,11
28067,84
28069,15
28071,43
28073,38
28075,134
28077,14
28079,40
28081,79
28083,87
28085,57
28087,62
28089,93
28091,42
28093,29
28095,72
28097,23
28099,111
28101,27
28103,17
28105,54
28107,39
28109,59
28111,23
28113,56
28115,19
28117,19
28119,6
28121,86
28123,29
28125,14
28127,49
28129,16
28131,14
28133,49
28135,25
28137,39
28139,22
28141,41
28143,17
28145,25
28147,27
28149,55
28151,99
28153,21
28155,13
28157,20
28159,21
28161,14
28163,33
0,33
29001,0
29003,4
29005,1
29007,7
29009,8
29011,3
29013,5
29015,5
29017,2
29019,14
29021,38
29023,8
29025,1
29027,5
29029,28
29031,46
29033,3
29035,3
29037,28
29039,2
29041,0
29043,11
29045,0
29047,46
29049,14
29051,18
29053,2
29055,7
29057,0
29059,1
29061,4
29063,2
29065,3
29067,9
29069,12
29071,43
29073,24
29075,10
29077,118
29079,9
29081,1
29083,6
29085,3
29087,1
29089,2
29091,7
29093,0
29095,302
29097,68
29099,79
29101,10
29103,1
29105,21
29107,24
29109,14
29111,2
29113,5
29115,2
29117,6
29119,11
29121,1
29123,3
29125,0
29127,14
29129,0
29131,7
29133,5
29135,9
29137,1
29139,1
29141,6
29143,20
29145,17
29147,10
29149,0
29151,3
29153,1
29155,12
29157,8
29159,15
29161,21
29163,8
29165,12
29167,8
29169,9
29171,1
29173,0
29175,3
29177,2
29179,1
29181,4
29183,144
29185,1
29186,1
29187,24
29189,858
29195,10
29197,0
29199,1
29201,19
29203,3
29205,1
29207,15
29209,9
29211,1
29213,33
29215,3
29217,3
29219,1
29221,17
29223,1
29225,11
29227,0
29229,3
29510,218
0,2
30001,1
30003,34
30005,2
30007,0
30009,0
30011,0
30013,6
30015,0
30017,3
30019,1
30021,3
30023,1
30025,0
30027,2
30029,23
30031,6
30033,0
30035,10
30037,0
30039,0
30041,16
30043,0
30045,0
30047,1
30049,5
30051,0
30053,3
30055,0
30057,1
30059,3
30061,0
30063,8
30065,1
30067,0
30069,0
30071,0
30073,1
30075,5
30077,0
30079,0
30081,4
30083,2
30085,17
30087,20
30089,2
30091,0
30093,0
30095,3
30097,2
30099,0
30101,6
30103,0
30105,2
30107,2
30109,0
30111,82
0,1
31001,13
31003,1
31005,0
31007,0
31009,0
31011,0
31013,1
31015,0
31017,0
31019,13
31021,1
31023,1
31025,4
31027,0
31029,0
31031,4
31033,1
31035,0
31037,7
31039,1
31041,4
31043,44
31045,0
31047,15
31049,0
31051,2
31053,17
31055,217
31057,1
31059,1
31061,0
31063,0
31065,3
31067,5
31069,0
31071,0
31073,0
31075,0
31077,0
31079,49
31081,12
31083,0
31085,0
31087,0
31089,1
31091,1
31093,5
31095,0
31097,0
31099,0
31101,0
31103,0
31105,0
31107,1
31109,40
31111,7
31113,0
31115,0
31117,0
31119,8
31121,1
31123,0
31125,0
31127,0
31129,0
31131,1
31133,0
31135,10
31137,0
31139,8
31141,7
31143,3
31145,0
31147,2
31149,1
31151,2
31153,35
31155,4
31157,8
31159,3
31161,0
31163,3
31165,0
31167,0
31169,0
31171,0
31173,4
31175,1
31177,7
31179,0
31181,0
31183,0
31185,2
0,0
32001,4
32003,1488
32005,1
32007,11
32009,0
32011,0
32013,4
32015,2
32017,0
32019,12
32021,0
32023,16
32027,0
32029,0
32031,189
32033,1
32510,8
0,0
33001,5
33003,2
33005,3
33007,0
33009,1
33011,313
33013,26
33015,105
33017,14
33019,1
0,0
34001,264
34003,2056
34005,508
34007,623
34009,100
34011,161
34013,2139
34015,240
34017,1525
34019,126
34021,638
34023,1443
34025,870
34027,834
34029,1061
34031,1260
34033,88
34035,592
34037,197
34039,1367
34041,171
0,0
35001,189
35003,1
35005,18
35006,21
35007,1
35009,10
35011,0
35013,65
35015,20
35017,3
35019,1
35021,0
35023,2
35025,28
35027,4
35028,0
35029,11
35031,261
35033,0
35035,13
35037,2
35039,15
35041,7
35043,45
35045,203
35047,0
35049,13
35051,1
35053,8
35055,4
35057,1
35059,2
35061,4
0,110
1,23
36001,126
36003,9
36005,4983
36007,90
36009,16
36011,3
36013,4
36015,10
36017,6
36019,5
36021,48
36023,1
36025,5
36027,164
36029,646
36031,14
36033,1
36035,28
36037,6
36039,15
36041,1
36043,10
36045,1
36047,7376
36049,5
36051,6
36053,9
36055,261
36057,9
36059,2208
36061,3191
36063,90
36065,126
36067,183
36069,29
36071,418
36073,55
36075,4
36077,4
36079,63
36081,7289
36083,42
36085,1093
36087,511
36089,4
36091,15
36093,48
36095,2
36097,2
36099,2
36101,69
36103,2019
36105,37
36107,25
36109,0
36111,84
36113,30
36115,14
36117,3
36119,1470
36121,5
36123,6
0,0
37001,72
37003,9
37005,2
37007,9
37009,3
37011,0
37013,39
37015,19
37017,19
37019,37
37021,100
37023,47
37025,87
37027,19
37029,3
37031,5
37033,5
37035,59
37037,60
37039,14
37041,10
37043,3
37045,81
37047,59
37049,57
37051,91
37053,4
37055,3
37057,43
37059,8
37061,54
37063,99
37065,52
37067,115
37069,31
37071,108
37073,3
37075,7
37077,50
37079,12
37081,200
37083,25
37085,68
37087,36
37089,65
37091,34
37093,25
37095,5
37097,34
37099,7
37101,60
37103,15
37105,19
37107,38
37109,16
37111,32
37113,7
37115,1
37117,16
37119,380
37121,4
37123,38
37125,40
37127,70
37129,37
37131,19
37133,27
37135,58
37137,2
37139,35
37141,8
37143,4
37145,10
37147,38
37149,11
37151,60
37153,24
37155,90
37157,18
37159,113
37161,48
37163,28
37165,22
37167,60
37169,9
37171,29
37173,4
37175,9
37177,3
37179,62
37181,46
37183,268
37185,7
37187,8
37189,5
37191,79
37193,37
37195,62
37197,9
37199,0
0,0
38001,0
38003,1
38005,8
38007,0
38009,16
38011,2
38013,1
38015,74
38017,82
38019,1
38021,1
38023,1
38025,5
38027,3
38029,8
38031,2
38033,0
38035,17
38037,3
38039,1
38041,2
38043,2
38045,5
38047,0
38049,12
38051,4
38053,4
38055,9
38057,3
38059,49
38061,6
38063,3
38065,1
38067,0
38069,0
38071,4
38073,0
38075,2
38077,3
38079,7
38081,2
38083,1
38085,4
38087,0
38089,30
38091,0
38093,6
38095,2
38097,3
38099,2
38101,27
38103,0
38105,12
0,0
39001,6
39003,73
39005,6
39007,48
39009,2
39011,16
39013,27
39015,3
39017,129
39019,7
39021,3
39023,56
39025,38
39027,13
39029,87
39031,12
39033,8
39035,682
39037,51
39039,13
39041,27
39043,53
39045,57
39047,8
39049,640
39051,11
39053,13
39055,50
39057,42
39059,8
39061,343
39063,25
39065,13
39067,3
39069,17
39071,4
39073,9
39075,10
39077,12
39079,8
39081,4
39083,16
39085,59
39087,25
39089,66
39091,3
39093,89
39095,373
39097,15
39099,286
39101,50
39103,42
39105,12
39107,28
39109,58
39111,18
39113,189
39115,0
39117,2
39119,4
39121,0
39123,30
39125,2
39127,11
39129,46
39131,0
39133,68
39135,18
39137,27
39139,24
39141,36
39143,22
39145,9
39147,14
39149,14
39151,181
39153,265
39155,134
39157,24
39159,3
39161,3
39163,3
39165,64
39167,24
39169,69
39171,4
39173,81
39175,13
0,0
40001,11
40003,0
40005,1
40007,1
40009,10
40011,1
40013,11
40015,26
40017,21
40019,10
40021,8
40023,2
40025,0
40027,87
40029,0
40031,17
40033,3
40035,2
40037,37
40039,3
40041,27
40043,1
40045,0
40047,25
40049,6
40051,16
40053,1
40055,8
40057,0
40059,1
40061,5
40063,4
40065,12
40067,0
40069,4
40071,16
40073,2
40075,2
40077,2
40079,22
40081,20
40083,2
40085,1
40087,9
40089,38
40091,9
40093,2
40095,2
40097,12
40099,2
40101,28
40103,3
40105,4
40107,6
40109,222
40111,8
40113,13
40115,9
40117,5
40119,11
40121,20
40123,4
40125,14
40127,5
40129,4
40131,54
40133,6
40135,13
40137,8
40139,10
40141,3
40143,195
40145,28
40147,41
40149,0
40151,0
40153,5
0,0
41001,3
41003,6
41005,65
41007,0
41009,1
41011,0
41013,2
41015,1
41017,13
41019,5
41021,0
41023,0
41025,0
41027,1
41029,6
41031,9
41033,3
41035,3
41037,0
41039,27
41041,13
41043,15
41045,37
41047,106
41049,6
41051,157
41053,15
41055,0
41057,0
41059,44
41061,2
41063,2
41065,15
41067,74
41069,0
41071,15
0,0
42001,27
42003,399
42005,20
42007,139
42009,6
42011,418
42013,27
42015,9
42017,623
42019,27
42021,7
42023,0
42025,29
42027,15
42029,375
42031,3
42033,7
42035,6
42037,41
42039,3
42041,78
42043,192
42045,767
42047,2
42049,40
42051,13
42053,1
42055,54
42057,3
42059,1
42061,11
42063,16
42065,4
42067,8
42069,218
42071,472
42073,29
42075,66
42077,363
42079,191
42081,31
42083,2
42085,25
42087,3
42089,134
42091,893
42093,7
42095,310
42097,106
42099,6
42101,1871
42103,23
42105,1
42107,78
42109,16
42111,3
42113,1
42115,28
42117,3
42119,8
42121,1
42123,1
42125,34
42127,12
42129,76
42131,8
42133,197
0,0
44001,18
44003,116
44005,5
44007,929
44009,71
0,0
45001,15
45003,86
45005,6
45007,200
45009,35
45011,25
45013,90
45015,93
45017,17
45019,273
45021,52
45023,27
45025,42
45027,68
45029,47
45031,65
45033,48
45035,98
45037,21
45039,38
45041,199
45043,50
45045,334
45047,74
45049,31
45051,223
45053,23
45055,43
45057,61
45059,60
45061,36
45063,198
45065,7
45067,39
45069,12
45071,43
45073,32
45075,130
45077,57
45079,265
45081,22
45083,218
45085,88
45087,16
45089,48
45091,100
0,0
46003,0
46005,13
46007,5
46009,1
46011,4
46013,4
46015,2
46017,4
46019,3
46021,0
46023,0
46025,0
46027,8
46029,10
46031,1
46033,3
46035,5
46037,2
46039,0
46041,0
46043,4
46045,1
46047,6
46049,1
46051,2
46053,9
46055,1
46057,0
46059,1
46061,1
46063,0
46065,5
46067,2
46069,0
46071,1
46073,6
46075,0
46077,2
46079,8
46081,6
46083,16
46085,5
46087,1
46089,0
46091,1
46093,9
46095,1
46097,1
46099,100
46101,2
46102,5
46103,47
46105,0
46107,0
46109,4
46111,0
46115,1
46117,0
46119,0
46121,5
46123,2
46125,8
46127,10
46129,2
46135,5
46137,1
0,40
47001,14
47003,20
47005,9
47007,4
47009,32
47011,23
47013,8
47015,2
47017,25
47019,32
47021,11
47023,14
47025,6
47027,14
47029,12
47031,20
47033,20
47035,24
47037,330
47039,11
47041,17
47043,19
47045,27
47047,22
47049,8
47051,16
47053,38
47055,34
47057,4
47059,51
47061,11
47063,43
47065,105
47067,3
47069,32
47071,19
47073,24
47075,27
47077,25
47079,10
47081,13
47083,15
47085,4
47087,5
47089,20
47091,7
47093,88
47095,3
47097,17
47099,18
47101,2
47103,3
47105,10
47107,33
47109,26
47111,25
47113,79
47115,9
47117,9
47119,37
47121,5
47123,28
47125,51
47127,2
47129,7
47131,20
47133,12
47135,1
47137,7
47139,13
47141,54
47143,16
47145,7
47147,41
47149,110
47151,4
47153,4
47155,21
47157,558
47159,12
47161,8
47163,46
47165,108
47167,22
47169,7
47171,2
47173,3
47175,1
47177,10
47179,46
47181,7
47183,25
47185,14
47187,55
47189,55
0,0
48001,39
48003,10
48005,90
48007,18
48009,1
48011,1
48013,35
48015,9
48017,5
48019,8
48021,31
48023,2
48025,39
48027,96
48029,1386
48031,6
48033,0
48035,10
48037,72
48039,181
48041,66
48043,5
48045,1
48047,23
48049,28
48051,6
48053,13
48055,37
48057,9
48059,4
48061,970
48063,13
48065,0
48067,22
48069,6
48071,8
48073,32
48075,0
48077,2
48079,1
48081,5
48083,4
48085,174
48087,0
48089,4
48091,106
48093,5
48095,2
48097,8
48099,13
48101,3
48103,2
48105,7
48107,6
48109,2
48111,10
48113,1211
48115,16
48117,25
48119,0
48121,166
48123,42
48125,2
48127,7
48129,1
48131,21
48133,6
48135,93
48137,2
48139,75
48141,581
48143,13
48145,5
48147,16
48149,22
48151,3
48153,9
48155,0
48157,305
48159,7
48161,4
48163,9
48165,10
48167,168
48169,5
48171,10
48173,0
48175,6
48177,20
48179,10
48181,64
48183,84
48185,35
48187,79
48189,60
48191,1
48193,4
48195,6
48197,1
48199,34
48201,2759
48203,38
48205,0
48207,3
48209,74
48211,0
48213,31
48215,1659
48217,16
48219,12
48221,37
48223,26
48225,12
48227,21
48229,3
48231,43
48233,7
48235,0
48237,3
48239,16
48241,34
48243,0
48245,149
48247,5
48249,52
48251,63
48253,2
48255,17
48257,55
48259,10
48261,2
48263,0
48265,13
48267,1
48269,0
48271,1
48273,51
48275,8
48277,45
48279,23
48281,9
48283,13
48285,39
48287,14
48289,11
48291,57
48293,16
48295,1
48297,10
48299,2
48301,0
48303,158
48305,5
48307,4
48309,130
48311,1
48313,6
48315,14
48317,7
48319,2
48321,53
48323,144
48325,48
48327,0
48329,75
48331,7
48333,1
48335,2
48337,5
48339,172
48341,22
48343,5
48345,0
48347,68
48349,32
48351,13
48353,5
48355,405
48357,5
48359,2
48361,46
48363,17
48365,28
48367,45
48369,18
48371,6
48373,32
48375,85
48377,7
48379,5
48381,50
48383,6
48385,8
48387,17
48389,6
48391,16
48393,0
48395,4
48397,32
48399,9
48401,21
48403,9
48405,15
48407,11
48409,80
48411,1
48413,2
48415,12
48417,0
48419,30
48421,1
